-1,236,237
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.15024,0.044419,0.0459
6.8231,5.869,6.0032
9.9801,9.3901,10.46
12.266,10.889,15.455
11.28,10.554,16.057
11.129,10.887,16.442
10.843,10.928,16.559
10.99,10.78,17.143
11.337,10.61,17.586
10.573,10.272,16.635
10.942,10.388,16.364
11.111,10.535,16.444
11.523,10.606,16.636
11.642,10.825,17.104
11.876,11.006,17.354
12.208,11.171,17.473
11.959,11.238,17.285
11.995,11.323,17.083
11.847,11.261,17
11.558,11.009,17.013
11.736,11.204,17.642
11.835,11.43,17.988
11.799,11.472,18.186
11.925,11.416,18.098
11.832,11.412,17.77
11.813,11.384,17.527
11.956,11.361,17.599
12.169,11.297,17.591
12.354,11.42,17.503
12.103,11.432,17.299
11.795,11.475,17.355
11.961,11.367,17.337
12.081,11.344,17.459
11.918,11.453,17.651
11.968,11.425,17.795
11.963,11.306,18.028
11.843,11.17,18.102
11.909,11.326,18.035
12.192,11.495,18.029
12.044,11.573,18.013
12.099,11.612,18.288
12.145,11.713,18.373
12.137,11.912,18.474
12.348,11.967,18.42
12.529,11.81,18.322
12.156,11.616,18.308
12.132,11.59,18.331
12.088,11.615,18.172
11.989,11.622,17.968
11.981,11.548,17.858
12.028,11.476,17.869
12.191,11.39,17.889
12.264,11.511,18.043
12.285,11.674,18.005
12.123,11.855,17.814
12.193,11.774,17.624
12.157,11.661,17.63
12.293,11.547,17.632
12.245,11.554,17.651
12.048,11.668,17.789
12.031,11.749,17.952
11.966,11.815,18.124
12.003,11.699,18.247
12.258,11.692,18.302
12.462,11.61,18.166
12.409,11.717,18.178
12.411,11.729,18.096
12.384,11.715,18.196
12.164,11.591,18.218
12.244,11.521,18.257
12.361,11.589,18.246
12.294,11.682,18.053
12.341,11.643,17.936
12.434,11.61,18.08
12.352,11.568,18.192
12.223,11.489,18.159
12.21,11.426,18.137
12.185,11.518,18.251
12.476,11.599,18.243
12.55,11.6,18.23
12.494,11.525,18.066
12.385,11.563,17.973
12.253,11.65,17.928
12.144,11.611,17.806
12.189,11.658,17.708
12.188,11.694,17.675
12.183,11.665,17.776
12.151,11.606,17.866
12.155,11.52,17.851
12.2,11.53,17.957
12.213,11.563,18.079
12.253,11.6,18.279
12.296,11.627,18.301
12.481,11.752,18.414
12.435,11.863,18.48
12.455,11.868,18.392
12.509,11.837,18.097
12.457,11.783,17.893
12.343,11.709,17.923
12.276,11.641,18.066
12.276,11.674,18.058
12.477,11.73,18.193
12.511,11.74,18.274
12.446,11.752,18.378
12.317,11.737,18.334
12.424,11.718,18.239
12.408,11.691,18.15
12.345,11.731,18.25
12.315,11.783,18.339
12.241,11.783,18.305
12.288,11.679,18.24
12.251,11.672,18.205
12.33,11.718,18.205
12.301,11.758,18.275
12.374,11.817,18.331
12.434,11.869,18.257
12.314,11.86,18.226
12.334,11.783,18.311
12.34,11.677,18.297
12.248,11.579,18.164
12.193,11.542,18.233
12.17,11.628,18.313
12.181,11.676,18.245
12.191,11.772,18.217
12.372,11.751,18.088
12.368,11.761,18.006
12.328,11.699,17.811
12.239,11.665,17.79
12.199,11.659,18.023
12.395,11.672,18.275
12.468,11.681,18.305
12.225,11.722,18.15
12.357,11.735,18.066
12.456,11.635,18.019
12.42,11.574,17.976
12.34,11.6,17.941
12.287,11.693,18.007
12.234,11.746,18.144
12.27,11.729,18.216
12.393,11.599,18.277
12.456,11.555,18.262
12.348,11.482,18.153
12.098,11.527,17.972
12.079,11.619,17.907
12.222,11.746,17.98
12.239,11.734,18.143
12.27,11.698,18.2
12.269,11.627,18.049
12.328,11.54,17.965
12.369,11.549,17.966
12.3,11.591,18.005
12.282,11.663,18.008
12.283,11.663,17.943
12.276,11.7,17.919
12.352,11.728,18.048
12.348,11.752,18.106
12.374,11.783,18.175
12.347,11.767,18.241
12.266,11.711,18.291
12.418,11.624,18.156
12.39,11.613,17.989
12.309,11.615,18.072
12.265,11.616,18.162
12.279,11.665,18.22
12.242,11.584,18.122
12.265,11.598,18.005
12.352,11.566,18.043
12.362,11.576,18.007
12.416,11.591,17.99
12.499,11.615,18.027
12.376,11.627,18.082
12.325,11.675,18.158
12.29,11.677,18.114
12.166,11.646,17.969
12.315,11.609,17.955
12.446,11.626,18.077
12.409,11.679,18.237
12.47,11.717,18.271
12.384,11.587,18.203
12.381,11.534,18.188
12.45,11.537,18.231
12.398,11.638,18.308
12.304,11.691,18.309
12.284,11.673,18.255
12.22,11.595,18.238
12.299,11.554,18.166
